月份(YYYY-MM),标准件销售,定制件销售,来料加工服务,配件与其他,原材料采购,生产人工,物流运输,销售推广,水电燃气,税费,厂房租金,管理人员工资,设备折旧,贷款利息,客户回款,期末应收账款,期末账上现金
2024-09,43.3,28.8,17.3,7.1,40,11.9,3.4,4.2,2.6,2.9,6.5,9,3.2,1.8,34.7,123.8,69.4
2024-10,47.1,31,18.7,7.2,43.8,12.5,3.6,4,2.8,3.1,6.5,9,3.2,1.8,70.3,157.5,49.6
2024-11,50,31.6,20.1,8.2,45.8,13.3,3.8,4,2.8,3.3,6.5,9,3.2,1.8,92.3,175.1,48.6
2024-12,47.9,33.1,20.8,7.6,45.1,12.7,3.8,4.4,2.8,3.3,6.5,9,3.2,1.8,103.2,181.3,59.4
2025-01,39,26.3,16.1,6.2,36.2,10.4,3.1,3.6,2.5,2.6,6.5,9,3.2,1.8,99.7,169.2,50.4
2025-02,31,20.2,12.1,4.9,29.1,8.3,2.4,2.6,2.2,2,6.5,9,3.2,1.8,86.9,150.5,70.4
2025-03,47.1,32,17.3,6.8,43.6,12.7,3.6,4.2,2.7,3.1,6.5,9,3.2,1.8,89.2,164.4,69.4
2025-04,44.2,30.4,16.8,6.8,41.1,11.5,3.4,4.2,2.7,2.9,6.5,9,3.2,1.8,94.1,168.5,77.4
2025-05,46.3,32.4,19.3,7.4,44.2,12.5,3.7,4.3,2.8,3.2,6.5,9,3.2,1.8,99.1,174.8,85.5
2025-06,49.6,36.9,20.4,8.2,49.3,13.6,4,4.5,2.9,3.5,6.5,9,3.2,1.8,106.2,183.8,93.6
2025-07,45.3,29.3,17.5,7,41.4,11.6,3.5,4.3,2.7,3,6.5,9,3.2,1.8,105.5,177.5,112.3
2025-08,45.3,29.5,19.2,7.2,42.1,12.1,3.5,3.8,2.7,3,6.5,9,3.2,1.8,103.3,175.4,128.1
2025-09,53.9,35.6,19.5,8.1,49.3,13.8,4.1,4.8,3,3.5,7.2,9.8,3.2,1.8,107.8,184.7,135.6
2025-10,55.8,38.2,21.2,8.4,52.8,14.6,4.3,5.1,3.1,3.7,7.2,9.8,3.2,1.8,115,193.4,145.2
2025-11,55.2,37.4,21.2,7.8,50.8,14.3,4.3,4.7,3,3.6,7.2,9.8,3.2,1.8,119.1,195.9,161.8
2025-12,56.4,37.5,22.7,8.7,53.1,14.9,4.4,4.9,3.1,3.8,7.2,9.8,3.2,1.8,104.6,216.6,160.4
2026-01,44.5,28.6,17.3,6.2,44.2,11.7,3.4,4.2,2.6,2.9,7.2,9.8,3.2,1.8,92.6,220.6,122.2
2026-02,36,23.7,15.2,5.9,36.5,9.6,2.8,3.1,2.4,2.4,7.2,9.8,3.2,1.8,84.5,216.9,128.1
2026-03,56.4,37.8,22.4,8.6,57.9,15,4.4,5.1,3.1,3.8,7.2,9.8,3.9,2.4,90.7,251.4,121.1
2026-04,50.5,33.6,21.5,8.4,51.9,14,4,4.8,2.9,3.4,7.2,9.8,3.9,2.4,100.1,265.3,117.8
2026-05,56.8,36.2,21.1,9.1,55.8,14.8,4.3,5.2,3,3.7,7.2,9.8,3.9,2.4,108.5,279.9,117.1
2026-06,58.7,37.9,23,8.4,57.4,15.2,4.5,5.2,3.1,3.8,7.2,9.8,3.9,2.4,113,294.9,118.5
2026-07,51.9,38.8,20.8,8.7,53.6,14.4,4.2,4.8,3,3.6,7.2,9.8,3.9,2.4,115.8,299.3,128.3
2026-08,52.2,34.5,22.2,8,54.2,13.7,4.1,4.7,3,3.5,7.2,9.8,3.9,2.4,116.4,299.8,139.1
